product_id,category,sub_category,product_name,product_keyword,cat_key,subcat_key,bag,bow
OFF-PA-10000029,Office Supplies,Paper,Xerox 224,"['xerox', '224']",['officesupplies'],['paper'],"['officesupplies', 'paper', 'xerox', '224']",officesupplies paper xerox 224
TEC-PH-10001578,Technology,Phones,Polycom SoundStation2 EX Conference phone,"['polycom', 'soundstation2', 'ex', 'conference', 'phone']",['technology'],['phones'],"['technology', 'phones', 'polycom', 'soundstation2', 'ex', 'conference', 'phone']",technology phones polycom soundstation2 ex conference phone
OFF-AR-10004078,Office Supplies,Art,Newell 312,"['newell', '312']",['officesupplies'],['art'],"['officesupplies', 'art', 'newell', '312']",officesupplies art newell 312
FUR-CH-10004860,Furniture,Chairs,Global Low Back Tilter Chair,"['global', 'low', 'back', 'tilter', 'chair']",['furniture'],['chairs'],"['furniture', 'chairs', 'global', 'low', 'back', 'tilter', 'chair']",furniture chairs global low back tilter chair
OFF-ST-10002011,Office Supplies,Storage,Smead Adjustable Mobile File Trolley with Lockable Top,"['smead', 'adjustable', 'mobile', 'file', 'trolley', 'lockable', 'top']",['officesupplies'],['storage'],"['officesupplies', 'storage', 'smead', 'adjustable', 'mobile', 'file', 'trolley', 'lockable', 'top']",officesupplies storage smead adjustable mobile file trolley lockable top
OFF-PA-10002986,Office Supplies,Paper,Xerox 1898,"['xerox', '1898']",['officesupplies'],['paper'],"['officesupplies', 'paper', 'xerox', '1898']",officesupplies paper xerox 1898
OFF-PA-10004451,Office Supplies,Paper,Xerox 222,"['xerox', '222']",['officesupplies'],['paper'],"['officesupplies', 'paper', 'xerox', '222']",officesupplies paper xerox 222
OFF-ST-10000649,Office Supplies,Storage,Hanging Personal Folder File,"['hanging', 'personal', 'folder', 'file']",['officesupplies'],['storage'],"['officesupplies', 'storage', 'hanging', 'personal', 'folder', 'file']",officesupplies storage hanging personal folder file
TEC-AC-10001465,Technology,Accessories,SanDisk Cruzer 64 GB USB Flash Drive,"['sandisk', 'cruzer', '64', 'gb', 'usb', 'flash', 'drive']",['technology'],['accessories'],"['technology', 'accessories', 'sandisk', 'cruzer', '64', 'gb', 'usb', 'flash', 'drive']",technology accessories sandisk cruzer 64 gb usb flash drive
FUR-FU-10002937,Furniture,Furnishings,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box","['ge', '48', 'fluorescent', 'tube', 'cool', 'white', 'energy', 'saver', '34', 'watts', '30', 'box']",['furniture'],['furnishings'],"['furniture', 'furnishings', 'ge', '48', 'fluorescent', 'tube', 'cool', 'white', 'energy', 'saver', '34', 'watts', '30', 'box']",furniture furnishings ge 48 fluorescent tube cool white energy saver 34 watts 30 box
OFF-ST-10002583,Office Supplies,Storage,Fellowes Neat Ideas Storage Cubes,"['fellowes', 'neat', 'ideas', 'storage', 'cubes']",['officesupplies'],['storage'],"['officesupplies', 'storage', 'fellowes', 'neat', 'ideas', 'storage', 'cubes']",officesupplies storage fellowes neat ideas storage cubes
OFF-BI-10000977,Office Supplies,Binders,Ibico Plastic Spiral Binding Combs,"['ibico', 'plastic', 'spiral', 'binding', 'combs']",['officesupplies'],['binders'],"['officesupplies', 'binders', 'ibico', 'plastic', 'spiral', 'binding', 'combs']",officesupplies binders ibico plastic spiral binding combs
OFF-AR-10004010,Office Supplies,Art,Hunt Boston Vacuum Mount KS Pencil Sharpener,"['hunt', 'boston', 'vacuum', 'mount', 'ks', 'pencil', 'sharpener']",['officesupplies'],['art'],"['officesupplies', 'art', 'hunt', 'boston', 'vacuum', 'mount', 'ks', 'pencil', 'sharpener']",officesupplies art hunt boston vacuum mount ks pencil sharpener
OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,"['convenience', 'packs', 'business', 'envelopes']",['officesupplies'],['envelopes'],"['officesupplies', 'envelopes', 'convenience', 'packs', 'business', 'envelopes']",officesupplies envelopes convenience packs business envelopes
TEC-AC-10003023,Technology,Accessories,Logitech G105 Gaming Keyboard,"['logitech', 'g105', 'gaming', 'keyboard']",['technology'],['accessories'],"['technology', 'accessories', 'logitech', 'g105', 'gaming', 'keyboard']",technology accessories logitech g105 gaming keyboard
OFF-AP-10003971,Office Supplies,Appliances,Belkin 6 Outlet Metallic Surge Strip,"['belkin', '6', 'outlet', 'metallic', 'surge', 'strip']",['officesupplies'],['appliances'],"['officesupplies', 'appliances', 'belkin', '6', 'outlet', 'metallic', 'surge', 'strip']",officesupplies appliances belkin 6 outlet metallic surge strip
TEC-PH-10004348,Technology,Phones,OtterBox Defender Series Case - iPhone 5c,"['otterbox', 'defender', 'series', 'case', 'iphone', '5c']",['technology'],['phones'],"['technology', 'phones', 'otterbox', 'defender', 'series', 'case', 'iphone', '5c']",technology phones otterbox defender series case iphone 5c
FUR-FU-10003424,Furniture,Furnishings,Nu-Dell Oak Frame,"['nu', 'dell', 'oak', 'frame']",['furniture'],['furnishings'],"['furniture', 'furnishings', 'nu', 'dell', 'oak', 'frame']",furniture furnishings nu dell oak frame
TEC-AC-10004571,Technology,Accessories,Logitech G700s Rechargeable Gaming Mouse,"['logitech', 'g700s', 'rechargeable', 'gaming', 'mouse']",['technology'],['accessories'],"['technology', 'accessories', 'logitech', 'g700s', 'rechargeable', 'gaming', 'mouse']",technology accessories logitech g700s rechargeable gaming mouse
OFF-ST-10000675,Office Supplies,Storage,"File Shuttle II and Handi-File, Black","['file', 'shuttle', 'ii', 'handi', 'black']",['officesupplies'],['storage'],"['officesupplies', 'storage', 'file', 'shuttle', 'ii', 'handi', 'black']",officesupplies storage file shuttle ii handi black
TEC-MA-10002694,Technology,Machines,Hewlett-Packard Deskjet F4180 All-in-One Color Ink-jet - Printer / copier / scanner,"['hewlett', 'packard', 'deskjet', 'f4180', 'one', 'color', 'ink', 'jet', 'printer', 'copier', 'scanner']",['technology'],['machines'],"['technology', 'machines', 'hewlett', 'packard', 'deskjet', 'f4180', 'one', 'color', 'ink', 'jet', 'printer', 'copier', 'scanner']",technology machines hewlett packard deskjet f4180 one color ink jet printer copier scanner
